Stock,Monthly Variance,Volatility
AMD,0.05372584640239121,0.23178836554579527
AVGO,0.05242902737835365,0.22897385741248638
ORCL,0.048865170221783404,0.22105467699594913
LRCX,0.04318052652531278,0.2077992457284501
TSLA,0.03489297094059348,0.18679660312916152
ZTS,0.03310299951159523,0.18194229720324856
AMAT,0.029287916564009687,0.17113712795302394
NVDA,0.024319565877747116,0.15594731763562691
NXPI,0.02259101601428237,0.15030308052159932
NOW,0.02253858865286302,0.15012857373885566
EXPD,0.020623999445319275,0.1436105826369327
GOOGL,0.01818245411771894,0.1348423305854617
GOOG,0.017518558978098925,0.13235769330907413
NFLX,0.017511430443884014,0.13233076151781192
ELV,0.017033477425394863,0.1305123650287392
CRM,0.016722449785920926,0.12931531149063874
LKQ,0.016655530043789744,0.12905630571107227
CMI,0.015834720571662225,0.1258360861266045
CAT,0.01575538757004749,0.1255204667376898
BKNG,0.014655498644723158,0.12105989693008647
CRH,0.014499019630954362,0.12041187495822146
COP,0.014461169784191982,0.12025460400413775
DIS,0.014082033128342842,0.11866774257709145
MRK,0.01398949190706933,0.11827718252929992
HD,0.013476162315714062,0.11608687400267984
UNH,0.01308597343022798,0.11439393965690657
VRTX,0.012944599317211994,0.11377433505502019
TXN,0.012601034355278595,0.11225432889327072
LLY,0.011863893437681253,0.10892150126435668
GE,0.011756463725276016,0.10842722778562595
ADBE,0.010944091925010974,0.10461401399913385
META,0.010753814784950438,0.1037006016614679
INTU,0.010691778882119817,0.10340105841875999
WMB,0.01061313839421334,0.1030200873335552
GS,0.010554887319016689,0.10273698126291568
CI,0.010482783288258581,0.10238546424301928
AMZN,0.010437890059388681,0.10216599267558986
LOW,0.010425759785502746,0.10210660990113592
JPM,0.009918347157907027,0.09959089897127663
CSCO,0.009874683407754289,0.09937144161052656
GILD,0.009782567097209592,0.09890686071860531
ISRG,0.009153111531154303,0.09567189519997137
AXP,0.009009598440635497,0.09491890454822736
ABBV,0.00842536289103114,0.09178977552555154
MET,0.00833832926815102,0.09131445267946921
OKE,0.008266587811314204,0.09092077766558206
TT,0.008247413955458673,0.0908152738004939
CCI,0.008140720258819421,0.09022594005506078
MS,0.007891968808255061,0.08883675370169185
IBM,0.007773359457629006,0.088166657289641
PGR,0.007271150972964248,0.08527104416485264
GWW,0.0072260090314473415,0.0850059352718817
V,0.007158515874865737,0.08460801306534586
RTX,0.007112090104838704,0.08433320879012433
C,0.007085213629434993,0.08417371103518599
MSFT,0.006765302398160859,0.08225145833455391
MA,0.006683525076008359,0.0817528291621052
DHR,0.006652083756034702,0.0815603074787896
MCD,0.006611107745262749,0.08130871875305101
EW,0.006596486581136653,0.08121875756952117
EQIX,0.006249729861972043,0.07905523298284588
AMT,0.0062354513452169925,0.07896487412271987
PG,0.006174421382306256,0.07857748648503754
GIS,0.006142295520394979,0.07837279834480188
NEE,0.006117044035604181,0.07821153390392098
KMI,0.0060645512516546134,0.0778752287422298
MMM,0.005989253936335637,0.07739027029501601
ECL,0.005883369684046295,0.07670312695090269
XOM,0.005621514535827572,0.07497675997152432
PNC,0.005510511964010921,0.07423282268653753
LIN,0.005389572862167648,0.07341371031467929
BK,0.005346131891715753,0.07311724756660191
PEG,0.005316919045712143,0.07291720678764474
ADSK,0.005265135749283235,0.0725612551523417
COST,0.004998466849097601,0.07069983627348511
PRU,0.004973355275285684,0.07052201979017393
JNJ,0.004863831323815037,0.06974117380583035
CVX,0.004805300970337236,0.06932027820441314
BAC,0.0047400939986874235,0.06884834056596734
VZ,0.004688605150554347,0.06847339009100066
ADP,0.004590519699839739,0.06775337408454091
HON,0.0045684120185330865,0.06759002898751476
PEP,0.004269070032803113,0.06533812082393488
UNP,0.0042540932643529905,0.06522341040112048
LNG,0.0041825120415261655,0.06467234371449797
NI,0.004152539064428704,0.06444019758216686
MCO,0.004001477975069155,0.06325723654309565
BRK-B,0.003908347926902008,0.06251678116235679
SPGI,0.0037814754934414685,0.06149370287632278
MMC,0.0037576457343207943,0.061299638941194376
KO,0.003727151050675981,0.061050397629139004
AAPL,0.0033191729378785778,0.057612263780193344
BR,0.0032507104106642253,0.05701500162820505
