Stock_1,AAPL,AKAM,AMGN,APD,BAC,BKNG,CARR,CAT,CBOE,CCK,CEG,CNH,CRWD,EA,EME,ES,FBIN,GOOG,HUBB,HWM,KDP,KEYS,LRCX,MCD,MCK,MRK,NDAQ,NOC,NVDA,PHM,SBUX,TT,WELL
AAPL,0.00960539643113006,0.004976110011422001,0.002415667772543779,0.004150947121204602,0.004559404517242087,0.004595639433310313,0.005038269620534256,0.0049284549489856675,-0.0005851493075393956,0.002853892971131494,0.00595562029516641,0.005877464068317851,0.00594155189494808,0.0010961033283873416,0.004407406947452248,0.0020572269833984864,0.006694344030416816,0.004864409971011843,0.004335569121347484,0.004319394878063328,0.0012723585949756039,0.006067581974103868,0.008367030975098307,0.0008722686849229563,2.1145056228698304e-05,0.0024742037174999496,0.0038644007402225877,0.0004055020287400302,0.006884352457152099,0.004016336113585916,0.005684875446010517,0.0039338942712105,0.0012855073324302816
AKAM,0.004976110011422001,0.011727081863198017,0.0031979108259886087,0.003809403236038196,0.003191985615052598,0.004053828821133175,0.004778928133840024,0.003770311446589419,-8.747895613841552e-05,0.0038634928762467614,0.004927400045456863,0.004503782306325855,0.006627666910605864,0.0012680909484431486,0.003575520846860322,0.0027295730336234277,0.007006609554745003,0.003251459714847642,0.004013455983846487,0.004041601595268795,0.0014390619350561611,0.005121961805694675,0.006431735379924508,0.0009826259264158815,0.0004897597989700548,0.003499857123389785,0.00362497212986114,0.0009603894976063829,0.0049985276695457175,0.004657728389716723,0.005530095202244887,0.0034925323752145305,0.0013370950816060166
AMGN,0.002415667772543779,0.0031979108259886087,0.006828866591319778,0.002453053153528114,0.001147859490620792,0.000955621725842905,0.001615930258804707,0.002124310710472148,0.0005322442033791283,0.00227433356773814,0.0009119946543403773,0.0020655863446344615,0.0013248879372927049,0.0008547676656726638,0.001427029343109329,0.0022751684335786957,0.003164257056940556,0.0013029064770832778,0.0018998346265754835,0.00083036644866762,0.0018235993946039226,0.002551087039452552,0.0033112340977112095,0.0012747473414737964,0.001325177351277103,0.004694676516126662,0.001333036639393469,0.0010177965314872482,0.0015316321984125618,0.0026018980230935237,0.0029900523441406058,0.001415866169264585,0.0016389628239165967
APD,0.004150947121204602,0.003809403236038196,0.002453053153528114,0.006892239863378592,0.0032970338544703257,0.0029323329559540834,0.004250739118263897,0.0036685673242038137,6.113280154711028e-05,0.0027636642688781774,0.003607068649561824,0.004622674376486385,0.0036769465759351728,0.0014356829993702018,0.0028561523673529994,0.0017388517972422783,0.005557961450841399,0.0026443999640104318,0.0033767179545472646,0.002900686486888447,0.0013864547584902067,0.004100024723594201,0.004257676042492909,0.0008560393358230489,0.0010232913947301509,0.003069809367536188,0.003255527808435924,0.0009033977251948674,0.0031075808195174318,0.003920640812139142,0.004141834337788611,0.0027455489589872798,0.0013567291263085427
BAC,0.004559404517242087,0.003191985615052598,0.001147859490620792,0.0032970338544703257,0.006156608421113831,0.0033072433457105557,0.003999219596958345,0.004037748831947659,-0.0002310203395570556,0.0019679747327598337,0.005838456832367864,0.004463988202618518,0.00467175155394024,0.0012326589010471436,0.004409206902313337,0.001406415650201996,0.004987109801193849,0.003056326943313416,0.003990996186879724,0.003943834119023876,0.0006711456563555542,0.005262336354901111,0.006463066550606583,0.0004950560540592398,0.00027336871216928574,0.0013921694130994236,0.00350465691064255,-8.115880542430253e-05,0.004880526990386499,0.002829395509535207,0.004347529873262989,0.003111638404029622,0.000990166208207867
BKNG,0.004595639433310313,0.004053828821133175,0.000955621725842905,0.0029323329559540834,0.0033072433457105557,0.006775634837201501,0.0035091337217667655,0.0033801147753197845,-0.0001272702430194476,0.002155356903944863,0.0048025016420692795,0.0038051153789886716,0.004096463599061141,0.001040588447855695,0.0032904729044379868,0.0014036871211414567,0.004233541801902295,0.003221828483068713,0.003584969284330003,0.003623950994507636,0.001048261660992472,0.004232007856782229,0.005555897780201367,0.0010868600656593615,0.0008870784496157286,0.0015276860744093555,0.003103285046920575,0.0003442061366357933,0.004625354269938418,0.0031290961680893355,0.003525657155817808,0.003468049435229064,0.0012559947961092567
CARR,0.005038269620534256,0.004778928133840024,0.001615930258804707,0.004250739118263897,0.003999219596958345,0.0035091337217667655,0.01045537567850938,0.005841641132613325,-0.0005377906609990002,0.002941817525423637,0.005766493786850932,0.006877618614606506,0.004991834846002293,0.00098929607218175,0.005614696490373956,0.0018982204754081028,0.007592120286387166,0.0025995344147707296,0.004790582760536458,0.005032048932618382,0.0003785501053957488,0.005672453549702498,0.006417461250073994,0.00042499445281904153,6.183360806273253e-05,0.0025051887716567396,0.003335540475557456,0.0007719522003445538,0.0051774171615210215,0.004870018142288283,0.00458404850413889,0.005398115039387992,0.00014956229127257537
CAT,0.0049284549489856675,0.003770311446589419,0.002124310710472148,0.0036685673242038137,0.004037748831947659,0.0033801147753197845,0.005841641132613325,0.009139255571076876,-0.0010521195161436701,0.0019071084523024319,0.008130974800340845,0.006202980525778829,0.006080549278902285,0.0010761123908739712,0.006041682835475612,0.001309701145140736,0.006612787320065764,0.004323004631808751,0.006203974689808504,0.004452204816875008,0.00048236907262455954,0.006404125796015196,0.009123766239680196,0.0002156114512870048,0.00024361759811366678,0.0017949487017746121,0.003192125746548295,0.00046068327709189065,0.006678976336519879,0.004017238349109824,0.005007470960472587,0.004250631664701407,0.00044767943585752914
CBOE,-0.0005851493075393956,-8.747895613841552e-05,0.0005322442033791283,6.113280154711028e-05,-0.0002310203395570556,-0.0001272702430194476,-0.0005377906609990002,-0.0010521195161436701,0.003844528459401697,0.0002953375830291947,-0.0008030396896332303,-0.0008760827184844652,-0.0004188350827637076,0.001135325565351761,-0.0006215233332499006,0.0012825049382381476,-0.0011627684292744103,-0.0009249169557823601,-0.0010217316314657,0.00015881856481427938,0.0006284682377888882,-0.000816494919824759,-0.0017463632492089442,0.0008590925647530407,0.0015843072934477894,0.0003494804859509337,0.0007865135399387526,0.001045358292561111,-0.0011417436738861758,-0.00038710389728614276,-0.0006692129284525038,1.4698318562845623e-05,0.001536044306160843
CCK,0.002853892971131494,0.0038634928762467614,0.00227433356773814,0.0027636642688781774,0.0019679747327598337,0.002155356903944863,0.002941817525423637,0.0019071084523024319,0.0002953375830291947,0.005765692499272149,0.001536390533438124,0.0033002525753508113,0.0022333114173309827,0.001352805608388987,0.0010581791046492162,0.0018218384271738999,0.004251470574145297,0.0005679242206784265,0.0020573441577335623,0.0020451247652086215,0.0013784504500354404,0.002687599575184435,0.0029950562892247803,0.0012196219619717591,0.0009568057496050019,0.002386077429248574,0.002091156176471272,0.0002232696200133416,0.0018898421541656695,0.0026435070349829747,0.003612250499875257,0.0019395386662408721,0.0012889814747629276
CEG,0.00595562029516641,0.004927400045456863,0.0009119946543403773,0.003607068649561824,0.005838456832367864,0.0048025016420692795,0.005766493786850932,0.008130974800340845,-0.0008030396896332303,0.001536390533438124,0.0212736605252634,0.006041719326238687,0.01041260127413679,0.0021979631900594094,0.011476060888679626,0.0011800901270835407,0.0048845707241514606,0.005989539842511239,0.006641013437203774,0.00865900083441051,-0.00039716462578876915,0.007564847072320553,0.012761487990987499,-0.0003244905065307148,0.0005410286612509738,0.0005324120670057077,0.00517626872888444,0.0005599480093577196,0.011857378854919977,0.0013010580357209478,0.006366157810451191,0.005900835036086361,0.0012738072270837926
CNH,0.005877464068317851,0.004503782306325855,0.0020655863446344615,0.004622674376486385,0.004463988202618518,0.0038051153789886716,0.006877618614606506,0.006202980525778829,-0.0008760827184844652,0.0033002525753508113,0.006041719326238687,0.011076954065405627,0.005302289564745278,0.0011017861215073675,0.005305518659126105,0.0018023977529412916,0.008491998895616953,0.0038168775451191714,0.005083593584870702,0.004087190736669844,0.0013131617431462795,0.006770037442574655,0.007479197373612053,0.000712832991607965,-0.0005730834978760579,0.002337557068229848,0.0035506372003613505,0.0003293240589595131,0.005737556264821136,0.005276856402550837,0.005962848526308314,0.004146513481917131,0.0002656888985414981
CRWD,0.00594155189494808,0.006627666910605864,0.0013248879372927049,0.0036769465759351728,0.00467175155394024,0.004096463599061141,0.004991834846002293,0.006080549278902285,-0.0004188350827637076,0.0022333114173309827,0.01041260127413679,0.005302289564745278,0.015840099436270655,0.001900954344910423,0.007806267668064952,0.0010660689404390243,0.0056156004040245075,0.005772755843462406,0.0059345033633451645,0.0070694545617773046,0.00010619823159335356,0.007162636342514115,0.010418502149416477,-0.00043026405076172655,0.0007323245515454054,0.0010939414834898287,0.0038016994453734703,0.0009619742640340635,0.009756720596089171,0.0018065322644600713,0.004455570107580835,0.0048847458337009896,0.001030746695602496
EA,0.0010961033283873416,0.0012680909484431486,0.0008547676656726638,0.0014356829993702018,0.0012326589010471436,0.001040588447855695,0.00098929607218175,0.0010761123908739712,0.001135325565351761,0.001352805608388987,0.0021979631900594094,0.0011017861215073675,0.001900954344910423,0.006597792319839588,0.0014968445268628047,0.0014518801377084354,0.000984177075238369,0.0005194697450724429,0.001155960191607636,0.0021280317878538736,0.0008379284503191175,0.001257388256658529,0.002200384656698065,0.0009790790469154395,0.0014348841268273683,0.0009878871612991461,0.0014759683319991463,0.0006203489412764179,0.0015226497787199436,0.0013602747665159233,0.0014047995994405167,0.0007466517708415288,0.0014058656473910293
EME,0.004407406947452248,0.003575520846860322,0.001427029343109329,0.0028561523673529994,0.004409206902313337,0.0032904729044379868,0.005614696490373956,0.006041682835475612,-0.0006215233332499006,0.0010581791046492162,0.011476060888679626,0.005305518659126105,0.007806267668064952,0.0014968445268628047,0.014127968809856504,0.0018164349532664987,0.005545229180381686,0.004172029205641414,0.006125749912722125,0.006960704968117716,-0.00041569101135347506,0.006014768712071238,0.009055455662576388,-3.8054236925180564e-05,-0.00011107340411950901,0.0013659075513738417,0.003861927416973302,0.0007663105650077768,0.00875388160937211,0.0022138369601906937,0.004306446751686093,0.004299847004654187,0.0006572311901002308
ES,0.0020572269833984864,0.0027295730336234277,0.0022751684335786957,0.0017388517972422783,0.001406415650201996,0.0014036871211414567,0.0018982204754081028,0.001309701145140736,0.0012825049382381476,0.0018218384271738999,0.0011800901270835407,0.0018023977529412916,0.0010660689404390243,0.0014518801377084354,0.0018164349532664987,0.006228509461427171,0.0022921599915180137,-0.00017958663328792405,0.001175785203712998,0.0013144508494446726,0.0017704412768233175,0.0018348500382809703,0.0017374176098225672,0.001183024807071687,0.0016599422512307614,0.0019645142869104647,0.001665471459173193,0.0006880058110604278,0.0008826864933816009,0.0019341024167767054,0.0019536647496913593,0.0013258996419570363,0.0020880773372117835
