Date,Ticker,Type,Price
2023-10-02,A,Close,108.79124450683594
2023-10-09,A,Close,108.88249969482422
2023-10-16,A,Close,107.62137603759766
2023-10-23,A,Close,101.2564926147461
2023-10-30,A,Close,107.41444396972656
2023-11-06,A,Close,106.87255096435547
2023-11-13,A,Close,111.4836196899414
2023-11-20,A,Close,124.75524139404297
2023-11-27,A,Close,126.89328002929688
2023-12-04,A,Close,125.32669830322266
2023-12-11,A,Close,134.76560974121094
2023-12-18,A,Close,137.51451110839844
2023-12-25,A,Close,136.9824981689453
2024-01-01,A,Close,128.8547821044922
2024-01-08,A,Close,128.8350372314453
2024-01-15,A,Close,129.5061798095703
2024-01-22,A,Close,129.2791748046875
2024-01-29,A,Close,131.23330688476562
2024-02-05,A,Close,131.5984649658203
2024-02-12,A,Close,133.07888793945312
2024-02-19,A,Close,130.3055877685547
2024-02-26,A,Close,137.24375915527344
2024-03-04,A,Close,145.93870544433594
2024-03-11,A,Close,145.5537872314453
2024-03-18,A,Close,145.52420043945312
2024-03-25,A,Close,143.60951232910156
2024-04-01,A,Close,142.2376708984375
2024-04-08,A,Close,139.11758422851562
2024-04-15,A,Close,131.20925903320312
2024-04-22,A,Close,136.16188049316406
2024-04-29,A,Close,137.8522491455078
2024-05-06,A,Close,148.0441436767578
2024-05-13,A,Close,152.46292114257812
2024-05-20,A,Close,148.933837890625
2024-05-27,A,Close,128.9158477783203
2024-06-03,A,Close,131.45640563964844
2024-06-10,A,Close,128.3622589111328
2024-06-17,A,Close,131.7233123779297
2024-06-24,A,Close,128.14479064941406
2024-07-01,A,Close,124.922119140625
2024-07-08,A,Close,130.95758056640625
2024-07-15,A,Close,130.5119171142578
2024-07-22,A,Close,135.9986114501953
2024-07-29,A,Close,137.70205688476562
2024-08-05,A,Close,135.58262634277344
2024-08-12,A,Close,138.6924285888672
2024-08-19,A,Close,139.51443481445312
2024-08-26,A,Close,141.54469299316406
2024-09-02,A,Close,135.87974548339844
2024-09-09,A,Close,135.9886932373047
2024-09-16,A,Close,138.741943359375
2024-09-23,A,Close,146.63523864746094
2024-09-30,A,Close,143.57498168945312
2024-10-07,A,Close,142.66281127929688
2024-10-14,A,Close,137.7129364013672
2024-10-21,A,Close,129.14248657226562
2024-10-28,A,Close,135.7687225341797
2024-11-04,A,Close,135.5802459716797
2024-11-11,A,Close,126.04756927490234
2024-11-18,A,Close,132.7631072998047
2024-11-25,A,Close,136.85987854003906
2024-12-02,A,Close,139.44886779785156
2024-12-09,A,Close,137.881591796875
2024-12-16,A,Close,133.42770385742188
2024-12-23,A,Close,134.44940185546875
2024-12-30,A,Close,134.59823608398438
2025-01-06,A,Close,136.61595153808594
2025-01-13,A,Close,146.44448852539062
2025-01-20,A,Close,150.49916076660156
2025-01-27,A,Close,150.5786590576172
2025-02-03,A,Close,144.307861328125
2025-02-10,A,Close,133.8333282470703
2025-02-17,A,Close,134.52899169921875
2025-02-24,A,Close,127.1252670288086
2025-03-03,A,Close,125.91284942626953
2025-03-10,A,Close,120.4271469116211
2025-03-17,A,Close,119.99982452392578
2025-03-24,A,Close,115.96504974365234
2025-03-31,A,Close,102.36009216308594
2025-04-07,A,Close,102.28874969482422
2025-04-14,A,Close,102.0596923828125
2025-04-21,A,Close,105.84410858154297
2025-04-28,A,Close,108.18446350097656
2025-05-05,A,Close,106.49143981933594
2025-05-12,A,Close,113.30339050292969
2025-05-19,A,Close,108.08487701416016
2025-05-26,A,Close,111.46097564697266
2025-06-02,A,Close,115.32506561279297
2025-06-09,A,Close,116.59981536865234
2025-06-16,A,Close,115.08604431152344
2025-06-23,A,Close,118.68123626708984
2025-06-30,A,Close,120.8821792602539
2025-07-07,A,Close,123.03294372558594
2025-07-14,A,Close,113.76155853271484
2025-07-21,A,Close,119.93915557861328
2025-07-28,A,Close,113.27254486083984
2025-08-04,A,Close,114.39030456542969
2025-08-11,A,Close,118.96112060546875
2025-08-18,A,Close,121.38624572753906
2025-08-25,A,Close,125.4081802368164
2023-10-02,AAPL,Close,175.59814453125
2023-10-09,AAPL,Close,176.94363403320312
2023-10-16,AAPL,Close,171.03729248046875
2023-10-23,AAPL,Close,166.42694091796875
2023-10-30,AAPL,Close,174.76708984375
2023-11-06,AAPL,Close,184.4131622314453
2023-11-13,AAPL,Close,187.91534423828125
2023-11-20,AAPL,Close,188.19273376464844
2023-11-27,AAPL,Close,189.45083618164062
2023-12-04,AAPL,Close,193.8790283203125
2023-12-11,AAPL,Close,195.72161865234375
2023-12-18,AAPL,Close,191.7887725830078
2023-12-25,AAPL,Close,190.72877502441406
2024-01-01,AAPL,Close,179.48497009277344
2024-01-08,AAPL,Close,184.1805877685547
2024-01-15,AAPL,Close,189.76783752441406
2024-01-22,AAPL,Close,190.61976623535156
2024-01-29,AAPL,Close,184.1112518310547
2024-02-05,AAPL,Close,187.08319091796875
2024-02-12,AAPL,Close,180.83482360839844
2024-02-19,AAPL,Close,181.04315185546875
2024-02-26,AAPL,Close,178.20626831054688
2024-03-04,AAPL,Close,169.34854125976562
2024-03-11,AAPL,Close,171.2232208251953
2024-03-18,AAPL,Close,170.88601684570312
2024-03-25,AAPL,Close,170.0924530029297
2024-04-01,AAPL,Close,168.20785522460938
2024-04-08,AAPL,Close,175.12144470214844
2024-04-15,AAPL,Close,163.66490173339844
2024-04-22,AAPL,Close,167.93011474609375
2024-04-29,AAPL,Close,181.8961639404297
2024-05-06,AAPL,Close,181.56884765625
2024-05-13,AAPL,Close,188.589111328125
2024-05-20,AAPL,Close,188.6983642578125
2024-05-27,AAPL,Close,190.95306396484375
2024-06-03,AAPL,Close,195.56175231933594
2024-06-10,AAPL,Close,211.05653381347656
2024-06-17,AAPL,Close,206.0902557373047
2024-06-24,AAPL,Close,209.19912719726562
2024-07-01,AAPL,Close,224.81307983398438
2024-07-08,AAPL,Close,228.98475646972656
2024-07-15,AAPL,Close,222.79678344726562
2024-07-22,AAPL,Close,216.4896240234375
2024-07-29,AAPL,Close,218.3767852783203
2024-08-05,AAPL,Close,214.78121948242188
