Stock_1,AAPL,AKAM,AMGN,APD,BAC,BKNG,CARR,CAT,CBOE,CCK,CEG,CNH,CRWD,EA,EME,ES,FBIN,GOOG,HUBB,HWM,KDP,KEYS,LRCX,MCD,MCK,MRK,NDAQ,NOC,NVDA,PHM,SBUX,TT,WELL
AAPL,0.009605396,0.00497611,0.002415668,0.004150947,0.004559405,0.004595639,0.00503827,0.004928455,-0.000585149,0.002853893,0.00595562,0.005877464,0.005941552,0.001096103,0.004407407,0.002057227,0.006694344,0.00486441,0.004335569,0.004319395,0.001272359,0.006067582,0.008367031,0.000872269,2.11E-05,0.002474204,0.003864401,0.000405502,0.006884352,0.004016336,0.005684875,0.003933894,0.001285507
AKAM,0.00497611,0.011727082,0.003197911,0.003809403,0.003191986,0.004053829,0.004778928,0.003770311,-8.75E-05,0.003863493,0.0049274,0.004503782,0.006627667,0.001268091,0.003575521,0.002729573,0.00700661,0.00325146,0.004013456,0.004041602,0.001439062,0.005121962,0.006431735,0.000982626,0.00048976,0.003499857,0.003624972,0.000960389,0.004998528,0.004657728,0.005530095,0.003492532,0.001337095
AMGN,0.002415668,0.003197911,0.006828867,0.002453053,0.001147859,0.000955622,0.00161593,0.002124311,0.000532244,0.002274334,0.000911995,0.002065586,0.001324888,0.000854768,0.001427029,0.002275168,0.003164257,0.001302906,0.001899835,0.000830366,0.001823599,0.002551087,0.003311234,0.001274747,0.001325177,0.004694677,0.001333037,0.001017797,0.001531632,0.002601898,0.002990052,0.001415866,0.001638963
APD,0.004150947,0.003809403,0.002453053,0.00689224,0.003297034,0.002932333,0.004250739,0.003668567,6.11E-05,0.002763664,0.003607069,0.004622674,0.003676947,0.001435683,0.002856152,0.001738852,0.005557961,0.0026444,0.003376718,0.002900686,0.001386455,0.004100025,0.004257676,0.000856039,0.001023291,0.003069809,0.003255528,0.000903398,0.003107581,0.003920641,0.004141834,0.002745549,0.001356729
BAC,0.004559405,0.003191986,0.001147859,0.003297034,0.006156608,0.003307243,0.00399922,0.004037749,-0.00023102,0.001967975,0.005838457,0.004463988,0.004671752,0.001232659,0.004409207,0.001406416,0.00498711,0.003056327,0.003990996,0.003943834,0.000671146,0.005262336,0.006463067,0.000495056,0.000273369,0.001392169,0.003504657,-8.12E-05,0.004880527,0.002829396,0.00434753,0.003111638,0.000990166
BKNG,0.004595639,0.004053829,0.000955622,0.002932333,0.003307243,0.006775635,0.003509134,0.003380115,-0.00012727,0.002155357,0.004802502,0.003805115,0.004096464,0.001040588,0.003290473,0.001403687,0.004233542,0.003221828,0.003584969,0.003623951,0.001048262,0.004232008,0.005555898,0.00108686,0.000887078,0.001527686,0.003103285,0.000344206,0.004625354,0.003129096,0.003525657,0.003468049,0.001255995
CARR,0.00503827,0.004778928,0.00161593,0.004250739,0.00399922,0.003509134,0.010455376,0.005841641,-0.000537791,0.002941818,0.005766494,0.006877619,0.004991835,0.000989296,0.005614696,0.00189822,0.00759212,0.002599534,0.004790583,0.005032049,0.00037855,0.005672454,0.006417461,0.000424994,6.18E-05,0.002505189,0.00333554,0.000771952,0.005177417,0.004870018,0.004584049,0.005398115,0.000149562
CAT,0.004928455,0.003770311,0.002124311,0.003668567,0.004037749,0.003380115,0.005841641,0.009139256,-0.00105212,0.001907108,0.008130975,0.006202981,0.006080549,0.001076112,0.006041683,0.001309701,0.006612787,0.004323005,0.006203975,0.004452205,0.000482369,0.006404126,0.009123766,0.000215611,0.000243618,0.001794949,0.003192126,0.000460683,0.006678976,0.004017238,0.005007471,0.004250632,0.000447679
CBOE,-0.000585149,-8.75E-05,0.000532244,6.11E-05,-0.00023102,-0.00012727,-0.000537791,-0.00105212,0.003844528,0.000295338,-0.00080304,-0.000876083,-0.000418835,0.001135326,-0.000621523,0.001282505,-0.001162768,-0.000924917,-0.001021732,0.000158819,0.000628468,-0.000816495,-0.001746363,0.000859093,0.001584307,0.00034948,0.000786514,0.001045358,-0.001141744,-0.000387104,-0.000669213,1.47E-05,0.001536044
CCK,0.002853893,0.003863493,0.002274334,0.002763664,0.001967975,0.002155357,0.002941818,0.001907108,0.000295338,0.005765692,0.001536391,0.003300253,0.002233311,0.001352806,0.001058179,0.001821838,0.004251471,0.000567924,0.002057344,0.002045125,0.00137845,0.0026876,0.002995056,0.001219622,0.000956806,0.002386077,0.002091156,0.00022327,0.001889842,0.002643507,0.00361225,0.001939539,0.001288981
CEG,0.00595562,0.0049274,0.000911995,0.003607069,0.005838457,0.004802502,0.005766494,0.008130975,-0.00080304,0.001536391,0.021273661,0.006041719,0.010412601,0.002197963,0.011476061,0.00118009,0.004884571,0.00598954,0.006641013,0.008659001,-0.000397165,0.007564847,0.012761488,-0.000324491,0.000541029,0.000532412,0.005176269,0.000559948,0.011857379,0.001301058,0.006366158,0.005900835,0.001273807
CNH,0.005877464,0.004503782,0.002065586,0.004622674,0.004463988,0.003805115,0.006877619,0.006202981,-0.000876083,0.003300253,0.006041719,0.011076954,0.00530229,0.001101786,0.005305519,0.001802398,0.008491999,0.003816878,0.005083594,0.004087191,0.001313162,0.006770037,0.007479197,0.000712833,-0.000573083,0.002337557,0.003550637,0.000329324,0.005737556,0.005276856,0.005962849,0.004146513,0.000265689
CRWD,0.005941552,0.006627667,0.001324888,0.003676947,0.004671752,0.004096464,0.004991835,0.006080549,-0.000418835,0.002233311,0.010412601,0.00530229,0.015840099,0.001900954,0.007806268,0.001066069,0.0056156,0.005772756,0.005934503,0.007069455,0.000106198,0.007162636,0.010418502,-0.000430264,0.000732325,0.001093941,0.003801699,0.000961974,0.009756721,0.001806532,0.00445557,0.004884746,0.001030747
