,weight
EQT,0.34347353896102484
CHD,0.32119769437097084
CEG,0.10777422002097872
FDS,0.0769116616536033
IT,0.05324140421920274
ELV,0.04975433794274598
PLTR,0.04764714283144755
BLK,7.169514502480067e-16
ALNY,6.241299207409612e-16
CRH,5.7069455222635695e-16
CHRW,5.515257167667145e-16
WBD,5.421839594388444e-16
ADI,5.105648507518797e-16
CI,5.029849442328404e-16
GE,4.976636022438537e-16
ADBE,4.970058911586761e-16
DLR,4.889290463546716e-16
HON,4.729911008101683e-16
GS,4.3277323521461744e-16
OKE,4.248116468768727e-16
FDX,4.242123886957065e-16
JNJ,4.1620771952549743e-16
OC,3.98145983084951e-16
OVV,3.9430393843197087e-16
PWR,3.856684632413811e-16
AKAM,3.722209164770273e-16
MU,3.52879637211174e-16
NTAP,3.413555490339168e-16
C,3.28035074568605e-16
TRV,3.1127931832935794e-16
CPB,3.0970983505854323e-16
RTX,3.0932307803867944e-16
BG,3.0769878639372555e-16
NOC,3.028742164026652e-16
WELL,2.9106113785706786e-16
AMD,2.855499734868724e-16
DGX,2.805486589777837e-16
AFL,2.784826806961382e-16
GDDY,2.7822797999811177e-16
VEEV,2.780450193990572e-16
DAL,2.6283966233034714e-16
TRMB,2.611650197395822e-16
EXPD,2.590427031784132e-16
BALL,2.556958279161354e-16
MCD,2.543282896679398e-16
BKR,2.513939191034649e-16
AMZN,2.477366623089225e-16
BK,2.445840528779345e-16
PFE,2.3534033422870006e-16
AMP,2.3370924137184114e-16
ANET,2.320218845498896e-16
ADP,2.284936732902074e-16
WST,2.1973341180954047e-16
MMM,2.1512956836651456e-16
CAT,2.1406644439669532e-16
XYL,2.129767097360883e-16
HPE,2.0161259517702484e-16
HIG,1.9656618169588886e-16
TXN,1.9590860170959484e-16
COST,1.8635135659966737e-16
BR,1.835234925388248e-16
AMT,1.7946025392604098e-16
TAP,1.7439224117801992e-16
MS,1.740755104753604e-16
COF,1.7358120775307341e-16
HCA,1.7340083253143548e-16
INTU,1.7030814034395456e-16
SLB,1.68089840418891e-16
POOL,1.6778516595821856e-16
DXCM,1.631167170982031e-16
INTC,1.6112878452034012e-16
XOM,1.570119701229063e-16
EW,1.5686162754108136e-16
RCL,1.5402811974286293e-16
HD,1.4978902791744605e-16
KEYS,1.4930168091189096e-16
IRM,1.4587081782556913e-16
MCO,1.4442189462144936e-16
FANG,1.4279989259350072e-16
JPM,1.423133510306722e-16
EME,1.4160780726742524e-16
AXP,1.4144958919199887e-16
HWM,1.3496861015159622e-16
CRM,1.335854954314089e-16
D,1.308642792293959e-16
META,1.2971949512452207e-16
GOOG,1.2950079750004658e-16
BMY,1.2771671969034957e-16
DT,1.250264904140151e-16
AVTR,1.2445102772614127e-16
CAH,1.2274918634685077e-16
ORCL,1.2014212963053465e-16
TT,1.1536386251083336e-16
FLUT,1.1502872178611838e-16
TRGP,1.1455258201330757e-16
GILD,1.139912487453199e-16
SYK,1.0597278767537741e-16
DIS,1.0562113687665287e-16
RJF,9.974472908885077e-17
KO,9.669133175759172e-17
WDAY,9.621097950345128e-17
NTNX,9.490593848760336e-17
HUM,9.464918869991555e-17
EXC,9.438497557135297e-17
LNG,9.219487319562777e-17
TEAM,8.326420008240327e-17
TFC,8.022610850672714e-17
PANW,7.84890650050682e-17
HOLX,7.822553869327765e-17
NEE,7.697450936219364e-17
FERG,7.611842768502848e-17
NDAQ,7.290235525382883e-17
VRTX,7.056644543803108e-17
URI,6.807831324514953e-17
USB,6.741518376883068e-17
ODFL,6.260815738654321e-17
SCHW,6.174214402574748e-17
MOS,6.156932868275687e-17
FIS,6.044299129975811e-17
PPG,5.517427894520938e-17
MELI,5.098171450653509e-17
PNC,4.30869052211317e-17
LIN,4.0896596339780974e-17
PLD,3.8825281229014716e-17
MMC,3.684247825894396e-17
KMB,3.6597044388819544e-17
PEG,3.5424657171666105e-17
AMGN,3.5314146574526727e-17
HBAN,3.505521682947546e-17
CMI,3.3463256016194636e-17
HLT,3.2366386308065845e-17
AJG,3.020230140190568e-17
CVX,2.9939997188616694e-17
FFIV,2.6059384837099417e-17
ISRG,2.3138089033184275e-17
WTW,2.1992651018942334e-17
WY,1.9086167178741924e-17
KDP,1.5170618925769942e-17
CCK,1.417568107442612e-17
UNP,1.1048261750923961e-17
PNR,1.0292578905922921e-17
VZ,8.01107375631768e-18
LDOS,6.486280769989506e-18
IQV,3.5985807818129954e-18
NI,0.0
NEM,0.0
NFLX,0.0
WAT,0.0
ZBH,0.0
NOW,0.0
WDC,0.0
WFC,0.0
NUE,0.0
NXPI,0.0
WMB,0.0
NVDA,0.0
WSM,0.0
SNOW,0.0
STE,0.0
SBAC,0.0
PTC,0.0
SYY,0.0
T,0.0
SPGI,0.0
SNPS,0.0
REGN,0.0
QCOM,0.0
TGT,0.0
TSCO,0.0
PYPL,0.0
TSLA,0.0
TWLO,0.0
PEP,0.0
UBER,0.0
PSX,0.0
PRU,0.0
UNH,0.0
UPS,0.0
SBUX,0.0
PHM,0.0
SYF,0.0
PG,0.0
V,0.0
PGR,0.0
A,0.0
MTD,0.0
FBIN,0.0
CMG,0.0
CMS,0.0
CNC,0.0
CNH,0.0
COIN,0.0
COO,0.0
COP,0.0
COR,0.0
CPRT,0.0
CRWD,0.0
CSCO,0.0
DE,0.0
DECK,0.0
DHR,0.0
EA,0.0
ECL,0.0
EIX,0.0
EQIX,0.0
ES,0.0
CMCSA,0.0
CLX,0.0
CDNS,0.0
AXON,0.0
ABBV,0.0
ACGL,0.0
ADSK,0.0
AIZ,0.0
AMAT,0.0
AON,0.0
APD,0.0
AVGO,0.0
BAC,0.0
CCI,0.0
BBY,0.0
BKNG,0.0
BRK-B,0.0
BXP,0.0
CAG,0.0
CARR,0.0
CBOE,0.0
CBRE,0.0
ETN,0.0
FICO,0.0
MSTR,0.0
FOX,0.0
KVUE,0.0
LH,0.0
LII,0.0
LKQ,0.0
LLY,0.0
LOW,0.0
LRCX,0.0
LULU,0.0
MA,0.0
MCK,0.0
MDB,0.0
MET,0.0
MKC,0.0
MLM,0.0
MRK,0.0
MRNA,0.0
MRVL,0.0
MSFT,0.0
MSI,0.0
KR,0.0
KMX,0.0
KMI,0.0
IBM,0.0
FSLR,0.0
FTV,0.0
GIS,0.0
GWW,0.0
HPQ,0.0
HRL,0.0
HUBB,0.0
HUBS,0.0
IDXX,0.0
KKR,0.0
IEX,0.0
IP,0.0
IR,0.0
AAPL,0.0
J,0.0
JBHT,0.0
JCI,0.0
KHC,0.0
ZTS,0.0
